,date,customer_id,revenue,cost,amount,category,region
0,2024-01-01,CUST0072,3992.89,1890.13,3992.89,Home,Central
1,2024-01-01,CUST0075,822.29,380.23,822.29,Food,Central
2,2024-01-01,CUST0022,3025.52,2067.12,3025.52,Home,South
3,2024-01-01,CUST0002,3623.89,2810.04,3623.89,Books,Central
4,2024-01-01,CUST0089,3106.53,2002.66,3106.53,Electronics,East
5,2024-01-01,CUST0092,3078.67,1403.25,3078.67,Books,East
6,2024-01-01,CUST0003,1943.19,1541.52,1943.19,Home,East
7,2024-01-01,CUST0018,3417.52,1982.85,3417.52,Books,North
8,2024-01-01,CUST0009,4829.88,3493.74,4829.88,Clothing,Central
9,2024-01-01,CUST0060,1192.92,592.18,1192.92,Books,Central
10,2024-01-01,CUST0081,4174.31,1959.2,4174.31,Books,South
11,2024-01-02,CUST0054,3789.04,2159.99,3789.04,Clothing,West
12,2024-01-02,CUST0090,965.03,760.28,965.03,Books,South
13,2024-01-02,CUST0095,2005.99,1545.95,2005.99,Sports,West
14,2024-01-02,CUST0080,273.88,145.19,273.88,Home,South
15,2024-01-02,CUST0089,2721.48,1727.32,2721.48,Books,West
16,2024-01-02,CUST0015,2736.35,1248.79,2736.35,Home,North
17,2024-01-02,CUST0001,127.4,72.54,127.4,Books,East
18,2024-01-02,CUST0035,1034.27,708.0,1034.27,Electronics,East
19,2024-01-02,CUST0041,416.52,226.33,416.52,Books,North
20,2024-01-02,CUST0048,3135.33,1669.12,3135.33,Sports,Central
21,2024-01-02,CUST0091,3661.55,2398.4,3661.55,Food,North
22,2024-01-02,CUST0003,1945.49,1534.38,1945.49,Electronics,Central
23,2024-01-03,CUST0027,1218.13,612.02,1218.13,Electronics,South
24,2024-01-03,CUST0063,175.82,77.92,175.82,Electronics,West
25,2024-01-03,CUST0023,2838.21,1924.9,2838.21,Home,East
26,2024-01-03,CUST0071,1055.15,820.0,1055.15,Food,East
27,2024-01-03,CUST0045,848.05,654.59,848.05,Sports,North
28,2024-01-03,CUST0044,572.2,333.37,572.2,Books,East
29,2024-01-03,CUST0089,1655.51,743.05,1655.51,Sports,North
30,2024-01-03,CUST0077,1397.05,920.77,1397.05,Electronics,East
31,2024-01-03,CUST0009,84.41,51.01,84.41,Sports,Central
32,2024-01-03,CUST0024,3477.56,1765.78,3477.56,Food,North
33,2024-01-03,CUST0058,2048.99,872.78,2048.99,Books,West
34,2024-01-03,CUST0056,1296.32,776.37,1296.32,Electronics,East
35,2024-01-03,CUST0054,3067.34,1843.69,3067.34,Home,North
36,2024-01-03,CUST0053,3190.04,2144.61,3190.04,Books,South
37,2024-01-04,CUST0075,1248.17,834.85,1248.17,Food,North
38,2024-01-04,CUST0098,3654.67,1999.52,3654.67,Sports,East
39,2024-01-04,CUST0073,4091.34,2943.05,4091.34,Books,East
40,2024-01-04,CUST0020,973.27,405.18,973.27,Books,East
41,2024-01-04,CUST0019,1140.19,780.42,1140.19,Books,West
42,2024-01-04,CUST0039,4705.59,2630.56,4705.59,Clothing,North
43,2024-01-04,CUST0050,3394.67,2356.19,3394.67,Sports,South
44,2024-01-04,CUST0090,1326.81,880.99,1326.81,Electronics,West
45,2024-01-04,CUST0048,2671.77,1327.18,2671.77,Sports,West
46,2024-01-04,CUST0009,2813.55,2118.76,2813.55,Electronics,East
47,2024-01-05,CUST0024,3643.48,2764.83,3643.48,Sports,North
48,2024-01-05,CUST0072,3228.06,1399.87,3228.06,Books,West
49,2024-01-05,CUST0089,2924.4,1605.24,2924.4,Food,North
50,2024-01-05,CUST0082,75.05,34.85,75.05,Clothing,East
51,2024-01-05,CUST0033,3277.21,1604.87,3277.21,Books,North
52,2024-01-05,CUST0008,2494.77,1176.36,2494.77,Food,North
53,2024-01-05,CUST0059,1574.9,971.74,1574.9,Food,Central
54,2024-01-06,CUST0098,4465.63,2913.62,4465.63,Home,North
55,2024-01-06,CUST0069,2905.67,1734.71,2905.67,Books,Central
56,2024-01-06,CUST0064,2521.01,1585.21,2521.01,Electronics,North
57,2024-01-06,CUST0046,4973.03,2924.03,4973.03,Home,East
58,2024-01-06,CUST0093,3751.21,2930.55,3751.21,Electronics,Central
59,2024-01-06,CUST0063,2882.85,2283.6,2882.85,Home,Central
60,2024-01-06,CUST0067,995.01,504.86,995.01,Clothing,North
61,2024-01-07,CUST0046,4683.97,3177.66,4683.97,Clothing,South
62,2024-01-07,CUST0090,1308.11,677.75,1308.11,Electronics,North
63,2024-01-07,CUST0039,726.28,496.46,726.28,Home,South
64,2024-01-07,CUST0025,4056.34,2936.97,4056.34,Home,West
65,2024-01-07,CUST0045,2581.14,1550.25,2581.14,Books,North
66,2024-01-07,CUST0014,401.16,224.13,401.16,Books,East
67,2024-01-07,CUST0066,1723.08,948.09,1723.08,Sports,East
68,2024-01-07,CUST0022,2354.71,1452.99,2354.71,Clothing,South
69,2024-01-07,CUST0070,200.98,83.39,200.98,Sports,East
70,2024-01-07,CUST0053,678.95,413.41,678.95,Books,West
71,2024-01-07,CUST0006,4828.0,2814.27,4828.0,Home,West
72,2024-01-07,CUST0040,2086.2,1418.21,2086.2,Books,Central
73,2024-01-07,CUST0019,4849.21,3325.77,4849.21,Electronics,East
74,2024-01-07,CUST0090,2222.91,958.92,2222.91,Home,North
75,2024-01-08,CUST0001,2074.32,973.51,2074.32,Clothing,North
76,2024-01-08,CUST0016,3317.98,1698.72,3317.98,Home,Central
77,2024-01-08,CUST0076,3078.02,1747.82,3078.02,Clothing,East
78,2024-01-08,CUST0078,3801.34,1542.42,3801.34,Books,Central
79,2024-01-08,CUST0062,516.08,270.72,516.08,Books,Central
80,2024-01-08,CUST0048,2397.16,1052.67,2397.16,Home,West
81,2024-01-08,CUST0023,907.35,520.4,907.35,Clothing,South
82,2024-01-08,CUST0052,4748.27,3583.39,4748.27,Clothing,South
83,2024-01-08,CUST0069,4670.51,2804.25,4670.51,Home,West
84,2024-01-08,CUST0002,3098.46,2409.23,3098.46,Electronics,West
85,2024-01-08,CUST0024,2949.59,2289.15,2949.59,Books,South
86,2024-01-08,CUST0061,2888.17,1303.72,2888.17,Food,East
87,2024-01-08,CUST0033,4710.25,2611.56,4710.25,Clothing,East
